year,department,section,roll_no,name,result,maths_assign1,maths_assign2,maths_mid,maths_external,python_assign1,python_assign2,python_mid,python_external,dbms_assign1,dbms_assign2,dbms_mid,dbms_external
3,IT,B,1035,Suman,PASS,18,19,24,76,19,18,23,75,18,17,22,74
3,IT,B,1036,Chandu,PASS,20,20,29,95,20,20,28,94,19,20,27,90
3,IT,B,1037,Anjali,FAIL,0,4,11,23,8,7,10,22,9,8,11,24
3,IT,B,1038,Mahesh,PASS,18,18,23,73,17,18,22,72,18,17,21,71
3,IT,B,1039,Navya,FAIL,12,10,14,35,11,12,15,36,10,11,13,34
3,IT,B,1040,Rakesh,PASS,19,19,25,81,20,18,24,80,19,18,23,79
1,ECE,A,1041,Pooja,PASS,19,18,24,77,18,19,23,75,17,18,22,73
1,ECE,A,1042,Aditya,FAIL,8,9,14,33,10,12,16,37,11,10,15,34
1,ECE,A,1043,Keerthana,PASS,20,20,29,92,19,20,27,91,20,20,28,89
1,ECE,A,1044,Mani,FAIL,0,5,10,21,0,8,12,24,7,6,11,20
1,ECE,A,1045,Sowmya,PASS,18,18,24,78,17,18,23,76,18,19,22,74
1,ECE,A,1046,Vijay,PASS,20,19,28,90,20,20,27,88,19,19,26,86
1,ECE,A,1047,Harini,FAIL,0,0,11,26,9,8,12,29,10,9,13,30
1,ECE,A,1048,Kishore,PASS,18,17,23,74,19,18,22,73,18,17,21,72
1,ECE,A,1049,Swathi,FAIL,11,10,15,34,12,11,14,33,13,12,15,35
1,ECE,A,1050,Praneeth,PASS,19,19,26,84,20,18,25,82,19,18,24,80
1,ECE,B,1051,Likhitha,PASS,17,18,22,69,18,17,21,71,17,18,22,70
1,ECE,B,1052,Rohit,FAIL,0,0,10,25,9,8,11,28,10,9,12,30
1,ECE,B,1053,Nandini,PASS,19,20,25,82,18,19,24,80,20,20,25,84
1,ECE,B,1054,Kiranmai,FAIL,10,12,16,37,11,10,15,34,10,11,14,36
1,ECE,B,1055,Satish,PASS,18,19,24,76,19,18,23,75,18,17,22,74
1,ECE,B,1056,Meghana,PASS,20,20,29,95,20,20,28,94,19,20,27,90
1,ECE,B,1057,Gopi,FAIL,0,4,11,23,8,7,10,22,9,8,11,24
1,ECE,B,1058,Akhil,PASS,18,18,23,73,17,18,22,72,18,17,21,71
1,ECE,B,1059,Bhavana,FAIL,12,10,14,35,11,12,15,36,10,11,13,34
1,ECE,B,1060,Murali,PASS,19,19,25,81,20,18,24,80,19,18,23,79
4,AIML,A,1061,Tarun,PASS,18,19,25,78,20,18,24,81,19,20,23,76
4,AIML,A,1062,Siri,FAIL,0,15,18,32,16,0,20,35,18,17,19,39
4,AIML,A,1063,Charan,PASS,20,20,28,90,19,20,26,88,20,19,25,84
4,AIML,A,1064,Navin,FAIL,10,0,15,25,12,14,18,30,10,12,15,28
4,AIML,A,1065,Renu,PASS,17,18,22,65,18,17,23,70,16,18,21,68
4,AIML,A,1066,Anvesh,PASS,19,20,26,82,18,19,25,80,17,18,24,78
4,AIML,A,1067,Pallavi,FAIL,0,0,10,22,12,10,14,25,11,9,13,20
4,AIML,A,1068,Vamshi,PASS,18,19,24,79,19,18,23,77,18,19,22,75
4,AIML,A,1069,Sindhu,FAIL,11,10,16,35,12,11,15,33,13,12,16,37
4,AIML,A,1070,Naresh,PASS,20,19,27,88,20,20,28,90,19,20,26,85
4,AIML,B,1071,Krishna,PASS,18,18,23,72,17,18,22,74,18,17,21,70
4,AIML,B,1072,Hema,FAIL,0,5,11,27,9,8,12,29,10,9,13,31
4,AIML,B,1073,Abhi,PASS,19,20,25,80,18,19,24,79,20,20,26,83
4,AIML,B,1074,Sravya,FAIL,10,11,15,34,11,10,14,32,10,12,15,36
4,AIML,B,1075,Dinesh,PASS,17,18,22,68,18,17,23,71,17,16,21,69
4,AIML,B,1076,Rajesh,PASS,20,20,29,93,20,19,28,91,19,20,27,89
4,AIML,B,1077,Lasya,FAIL,0,0,9,18,10,0,11,21,9,8,10,19
4,AIML,B,1078,Yamini,PASS,18,17,23,74,19,18,22,73,18,17,21,72
4,AIML,B,1079,Koushik,FAIL,12,10,14,36,13,12,15,38,11,10,13,34
4,AIML,B,1080,Reshma,PASS,19,19,26,84,20,18,25,82,19,18,24,80
3,DS,A,1081,Tejaswini,PASS,20,18,27,89,19,20,26,90,18,19,24,82
3,DS,A,1082,Ramesh,FAIL,12,10,16,38,14,13,17,36,15,14,18,35
3,DS,A,1083,Vaishnavi,PASS,18,19,23,74,17,18,22,72,19,20,25,80
3,DS,A,1084,Prasad,FAIL,0,0,12,29,10,11,13,31,9,8,12,27
3,DS,A,1085,Anusha,PASS,19,18,24,77,18,19,23,75,17,18,22,73
3,DS,A,1086,Raghu,PASS,20,20,29,92,19,20,27,91,20,20,28,89
3,DS,A,1087,Geetha,FAIL,0,5,10,21,0,8,12,24,7,6,11,20
3,DS,A,1088,Harish,PASS,18,18,24,78,17,18,23,76,18,19,22,74
3,DS,A,1089,Supriya,FAIL,11,9,15,33,10,11,14,35,12,10,15,37
3,DS,A,1090,Phani,PASS,20,19,28,90,20,20,27,88,19,19,26,86
3,DS,B,1091,Kavitha,PASS,17,18,22,69,18,17,21,71,17,18,22,70
3,DS,B,1092,Madhu,FAIL,0,0,10,25,9,8,11,28,10,9,12,30
3,DS,B,1093,Rithvik,PASS,19,20,25,82,18,19,24,80,20,20,25,84
3,DS,B,1094,Shilpa,FAIL,10,12,16,37,11,10,15,34,10,11,14,36
3,DS,B,1095,Ajith,PASS,18,19,24,76,19,18,23,75,18,17,22,74
3,DS,B,1096,Snehal,PASS,20,20,29,95,20,20,28,94,19,20,27,90
3,DS,B,1097,Kalyan,FAIL,0,4,11,23,8,7,10,22,9,8,11,24
3,DS,B,1098,Monica,PASS,18,18,23,73,17,18,22,72,18,17,21,71
3,DS,B,1099,Sashi,FAIL,12,10,14,35,11,12,15,36,10,11,13,34
3,DS,B,1100,Lalitha,PASS,19,19,25,81,20,18,24,80,19,18,23,79
